,Unnamed: 0,term_id,video_id,module_number,module_part,sequence,page_number,charts_number,example_num,real_duration,mean_duration_watched_all,std_duration_watched_all,std_duration,num_finished,num_watched,max_times,num_watched_all,time_spent_ratio,stt_accuracy,stt_low_accuracy_ratio,flag,radio,ratio_change,word_count,animation,hand_writing,speed,mean_duration_watched_all_ratio,num_watched_ratio,mean_times,Label1,Label2,example_ratio,charts_ratio
0,0,COMP102_1x,091b445f2f9a4ae0aa6da7638eaeb667,3,5.1,37,4,4,3,297.17,395.043,282.593,278.676,2794,3565,19,2485,0.996063,0.95395,0.16474,1,0.790697674,0.162790698,686,0.001076571,0.022338851,2.308442979,1.329350204,0.217936178,1.30785,0.8783345324,0.8283414518,0.75,1.0
1,1,COMP102_1x,0dcc5dfa4708447aab039813d0512d52,4,3.1,50,7,5,4,343.42,355.774,120.483,163.554,1453,1950,7,1234,0.026207,0.952631,0.175659,0,0.296296296,0.259259259,793,0.001630561,0.0,2.309125852,1.035973444,0.119207727,1.12642,0.696401124,0.5449361574,0.571428571429,0.714285714286
2,2,COMP102_1x,0f144113a1dc49d39fe5abc161401b72,3,6.1,40,5,5,5,464.98,519.668,232.497,274.353,2079,2894,7,1913,0.929072,0.955099,0.159901,1,0.970588235,0.029411765,1170,0.001290323,0.0,2.516237258,1.117613661,0.176916493,1.12389,0.7432176955,0.71493644635,1.0,1.0
3,3,COMP102_1x,132e3541f4b54dcf8393b96a0f5f51f9,2,5.1,23,9,8,0,307.08,326.215,119.284,153.277,5150,6612,9,4571,0.0455907,0.950479,0.196404,0,0.46,0.26,682,0.055092472,0.001432665,2.22091963,1.062312752,0.404205893,1.11551,0.8150291828,0.662520875,0.0,0.888888888889
4,4,COMP102_1x,14b3d3f3a4ed4717a57f0a5e48bde2e2,1,2.1,6,11,9,3,424.79,446.121,152.309,217.517,10265,16358,80,8742,0.0,0.949858,0.180952,1,0.661538462,0.323076923,947,0.002165725,0.0,2.229336849,1.050215401,1.0,1.11222,1.0487306203,0.89119831015,0.272727272727,0.818181818182
5,5,COMP102_1x,15995d131e824f51829ed8fa7c66f0f3,2,2.1,18,4,4,2,379.32,413.88,159.796,203.468,6321,8976,8,5658,0.100179,0.961097,0.144785,1,0.810344828,0.172413793,793,0.003374104,0.0,2.090583149,1.091110408,0.548722338,1.11099,0.8801190576,0.7314793464,0.5,1.0
6,6,COMP102_1x,202b44fa40e54f37a5a21ec9e4ec4c83,3,1.3,30,3,3,3,335.48,392.387,299.259,290.319,2865,3465,1039,2715,0.995588,0.959814,0.153934,1,0.96,0.04,872,0.002742012,0.0,2.599260761,1.169628592,0.211822961,1.52339,0.892634762,0.8665286732,1.0,1.0
7,7,COMP102_1x,2f1a5bc4d3df4117b23ebf84ea0a1463,3,4.1,35,5,5,5,560.62,624.533,266.521,321.688,2748,3827,78,2451,0.725982,0.955237,0.172461,0,0.375,0.340909091,1427,0.00292502,0.0,2.545396169,1.114004138,0.233952806,1.12403,0.7649913638,0.7067880431,1.0,1.0
8,8,COMP102_1x,34fa085d32834ea680d3f15267feeb05,1,4.2,11,5,4,1,278.64,283.57,83.2038,121.391,6934,8580,9,6314,0.0,0.953539,0.166667,1,0.833333333,0.111111111,633,0.016362853,0.039328262,2.271748493,1.017693081,0.524513999,1.06525,0.8346885239,0.68203456175,0.2,0.8
9,9,COMP102_1x,35ce36436c2b4b5abb4b9b94277f529f,4,2.1,45,11,11,2,457.97,537.195,253.475,283.429,1634,2035,8,1505,0.993515,0.957092,0.165468,1,0.754901961,0.18627451,1068,0.014497817,0.014061135,2.332030482,1.172991681,0.124403961,1.24186,0.7742170887,0.74729558655,0.181818181818,1.0
10,10,COMP102_1x,387879d5980f48078bd5d731652fe342,4,1.1,43,10,6,4,359.75,397.032,173.572,194.982,1697,2054,9,1580,0.514246,0.957095,0.160788,1,0.507042254,0.169014085,957,0.002223457,0.0,2.660180681,1.103633079,0.125565473,1.13734,0.7225181129,0.63411005105,0.4,0.6
11,11,COMP102_1x,38aa62c9e953448c9c19d4fbc812aee9,1,3.1,7,7,5,2,295.38,315.896,105.307,150.768,10331,14543,203,9135,0.0,0.953256,0.160326,1,0.7,0.22,731,0.001895735,0.0,2.474778252,1.069456294,0.889045116,1.12786,1.0148129346,0.8543944905,0.285714285714,0.714285714286
12,12,COMP102_1x,3aa0351939404d60aac56efd34daa0a5,5,2.3,60,5,3,2,439.81,440.471,127.786,188.121,970,1386,18,865,0.0,0.957208,0.179982,1,0.708333333,0.152777778,1051,0.005456033,0.0,2.389668266,1.001502922,0.084729184,1.01734,0.6395445502,0.4893191119,0.4,0.6
13,13,COMP102_1x,41946e283fe849898a22f922d14a71a8,3,2.1,32,8,8,4,364.62,448.522,243.25,264.718,3437,4628,9,3142,0.995557,0.955648,0.171242,1,0.770833333,0.166666667,767,0.001534247,0.0,2.103559871,1.230108058,0.282919672,1.27944,0.8660322862,0.8308496275,0.5,1.0
